Employer Name,Employer City,Employer State Code,Employer Zip Code,Workforce Size
"Spectrum Brands, Inc.",Visalia,CA,93291,100 to 499
Spectrum Care,Foothill Ranch,CA,92610,100 to 499
"Spectrum Communications Computer Cabling Services, Inc.",Corona,CA,92882,20 to 99
Spectrum Cosmetics,Elk Grove,CA,95758,5 to 9
Spectrum Environmental Services Inc.,Chatsworth,CA,91311,10 to 19
"Spectrum Laboratories, Inc",Compton,CA,90220,100 to 499
"Spectrum Oak Products, Inc.",Orange,CA,92867,20 to 99
Spectrum PA LLC,Danville,CA,94526,10 to 19
"Spectrum Security Services, Inc.",Jamul,CA,91935,100 to 499
"Spectrum Sensors and Controls, Inc. Grass Valley",Grass Valley,CA,95945,100 to 499
"Spectrum Services Group, Inc.",Sacramento,CA,95834,10 to 19
"Specular Interactive, Inc.",Foothill Ranch,CA,92610,5 to 9
"Speculative Product Design, LLC",Mountain View,CA,94041,100 to 499
"Speech, Language, Pathology",Encino,CA,91436,100 to 499
SPEED SOLUTION INTL,BREA,CA,92821,10 to 19
Speedway 100% Hand Car Wash,Lompoc,CA,93436,10 to 19
"Speedwell Transportation, Inc.",lancaster,CA,93534,20 to 99
"Speedy Mail & Messenger Service, Inc.",San Diego,CA,92111,5 to 9
"Spencer Building Maintenance, Inc.",Sacramento,CA,95815,100 to 499
SPENCER MAKENZIES FISH CO.,VENTURA,CA,93001,5 to 9
"SPG Managment, LLC.",San Marcos,CA,92069,100 to 499
SPG Solar Inc.,Novato,CA,94949,100 to 499
Spherion,Fresno,CA,93727,10 to 19
Spherion,La Mirada,CA,90638,100 to 499
SPHERION,SANTA ROSA,CA,95404,"1,000 to 2,499"
Spherion Corp,Sherman Oaks,CA,91403,"5,000 to 9,999"
SPHERION CORPORATION,ONTARIO,CA,91764,100 to 499
Spherion Pacific Work LLC,Woodland,CA,95776,100 to 499
SPI Anderson,Anderson,CA,96007,100 to 499
SPI Arcata,Arcata,CA,95518,100 to 499
SPI Burney,Burney,CA,96013,100 to 499
SPI Chinese Camp,Chinese Camp,CA,95309,100 to 499
SPI Lincoln,Lincoln,CA,95648,100 to 499
SPI Oroville,Oroville,CA,95965,100 to 499
SPI Quincy,Quincy,CA,95971,100 to 499
SPI Red Bluff,Red Bluff,CA,96080,100 to 499
SPI Richfield,Corning,CA,96021,100 to 499
SPI Shasta Lake,Shasta Lake,CA,96019,100 to 499
SPI Sonora,Sonora,CA,95370,20 to 99
SPI Windows,Red Bluff,CA,96080,100 to 499
Spice Kit Inc.,Palo Alto,CA,94306,20 to 99
Spice Kit LLC,San Francisco,CA,94105,10 to 19
Spicers Paper Inc.,Santa Fe Springs,CA,90670,100 to 499
"Spilker, Inc.",San Jose,CA,95135,5 to 9
Spin Master Inc.,Los Angeles,CA,90016,100 to 499
Spin Recruitment Inc.,Walnut Creek,CA,94598,5 to 9
SPINAL SOLUTIONS,MURRIETA,CA,92562,10 to 19
Spine Care & Orthopedic Physicians,Los Angeles,CA,90045,20 to 99
"SpineGuard, Inc",SanFrancisco,CA,94109,10 to 19
"Spinergy, Inc",Carlsbad,CA,92008,10 to 19
Spinnaker Electric Inc,Napa,CA,94558,5 to 9
Spira Manufacturing Corporation,North Hollywood,CA,91605,20 to 99
Spiracle Technology,Fountain Valley,CA,92708,5 to 9
Spiral Technology Inc,Lancaster,CA,93535,20 to 99
Spiral Technology Inc.,Lancaster,CA,93535,100 to 499
Spirals Foundation for Gymnastics,Santa Barbara,CA,93107,5 to 9
"Spire Manufacturing, Inc",San Jose,CA,95134,10 to 19
Spirent Communication,Sunnyvale,CA,94089,"1,000 to 2,499"
"Spirent Communications, Inc.",Calabasas,CA,91302,500 to 999
Spirit Foodservice (Los Angeles),Commerce,CA,90040,20 to 99
Spirit Garden LLC,Carlsbad,CA,92011,10 to 19
SPITERI BROTHERS INC,NAPA,CA,94558,5 to 9
SPK CONSULTANTS INC.,SAN JOSE,CA,95134,20 to 99
Splashtop Inc.,San Jose,CA,95129,20 to 99
"Splay, Inc.",San Leandro,CA,94577,100 to 499
Splenda Ella Moss,Los Angeles,CA,90007,100 to 499
"Splish Splash Ventures, LLC",San Juan Capstrano,CA,92675,20 to 99
"Splunk, Inc",San Francisco,CA,94107,500 to 999
Spohn Ranch,Industry,CA,91745,10 to 19
"Spohn Ranch, Inc.",City of Industry,CA,91745,20 to 99
"Spokeo, Inc",Pasadena,CA,91101,20 to 99
"Spooky Lions, LLC",Camarillo,CA,93010,20 to 99
Spooners Building Products,Poway,CA,92064,20 to 99
Spooners Woodworks Inc,Poway,CA,92064,20 to 99
"Sport Chalet, Inc",La Canada,CA,91011,500 to 999
SPORTS COMPOSITE DE INC,LOS ANGELES,CA,90045,20 to 99
Sports Multiplied LLC,Carlsbad,CA,92011,10 to 19
Sports Oh LLC,Santa Ana,CA,92707,10 to 19
"Sports Warehouse, Inc.",San Luis Obispo,CA,93401,100 to 499
"SPORTS WORLD, INC.",PARAMOUNT,CA,90723,20 to 99
Sportsbar & Steakhouse,Discovery Bay,CA,94505,20 to 99
Sportsmens Lodge Banquet Inc.,Studio City,CA,91604,100 to 499
Sportstec Inc,Camarillo,CA,93010,10 to 19
Sportvision,Mountain View,CA,94043,100 to 499
Spot 411,Orange,CA,92866,20 to 99
"SpotOn, Inc.",San Rafael,CA,94901,20 to 99
Spotya,Poway,CA,92064,5 to 9
sprague & Assoc,encino,CA,91436,10 to 19
SPRAGUES OUTDOOR POWER CENTER,PORTERVILLE,CA,93257,10 to 19
Spraying Devices Inc.,Visalia,CA,93277,10 to 19
Spreadtrum Communications,San Diego,CA,92121,20 to 99
Sprig Electric,San Jose,CA,95112,100 to 499
Spring Valley Insulation Contractors,Spring Valley,CA,91977,20 to 99
Springdale West Apartments,Long Beach,CA,90810,10 to 19
SPRINGFIELD TECHNOLOGY INC.,COMMERCE,CA,90040,5 to 9
SPRINGFIELD TECHNOLOGY INC.,COMMERCE,CA,90040,10 to 19
Springs Ambulance,Palm Springs,CA,92262,100 to 499
"SPRINTER EXPRESS DELIVERY, INC.",BALDWIN PARK,CA,91706,5 to 9
"Sproutwerx, LLC",Santa Cruz,CA,95060,10 to 19
SPS - Los Angeles,Huntington Beach,CA,92649,20 to 99
SPS Technologies,Santa Ana,CA,92704,100 to 499
SPS Technologies,Santa Ana,CA,92704,100 to 499
SPS Technologies,Santa Ana,CA,92704,100 to 499
"SPT Services, Inc",Santa Ana,CA,92701,20 to 99
"SPTS Technologies, Inc",San Jose,CA,95131,20 to 99
"Sputtering Components, Inc.",Livermore,CA,94550,20 to 99
"Spyglass Corporate Services Group, Inc.",Lake Forest,CA,92630,20 to 99
SQP CONSTRUCTION INC.,SAN DIEGO,CA,92101,5 to 9
"SQUARE-H BRANDS, INC.",Los Angeles,CA,90058,100 to 499
"SquareTrade, Inc.",San Francisco,CA,94105,20 to 99
Squaw Valley USA,Olympic Valley,CA,96146,"1,000 to 2,499"
Squires Belt Material Company,San Diego,CA,92102,20 to 99
Squires Lumber Company,Colton,CA,92324,20 to 99
SR Bray LLC,Anaheim,CA,92806,100 to 499
Sr Mutual Investment Corporation,Whittier,CA,90601,100 to 499
SR&B Boilers Inc.,Huntington Beach,CA,92647,20 to 99
SR2020 Inc.,Brea,CA,92821,20 to 99
SRA OSS Inc,San Jose,CA,95129,20 to 99
"SRAC Holdings I, Inc",San Ramon,CA,94583,"5,000 to 9,999"
SRAUFFERS LANDSCAPE INC,REDLANDS,CA,92375,100 to 499
"SRD Engineering, Inc.",Anaheim,CA,92807,20 to 99
"SRG Designs, Inc.",San Francisco,CA,94103,20 to 99
"SRG Operating, Inc.",Solana Beach,CA,92075,"1,000 to 2,499"
SRH Inc,Moreno Valley,CA,92553,20 to 99
SRH Management Inc,Anaheim Hills,CA,92807,20 to 99
SRI & ASSOCIATES INC,SACRAMENTO,CA,95815,5 to 9
SRI International,Menlo Park,CA,94025,"1,000 to 2,499"
"SRI RAM ENTERPRISES, INC.",SOUTH SAN FRANCISCO,CA,94080,20 to 99
SRI Surgical,Stockton,CA,95206,20 to 99
SRI Surgical,Long Beach,CA,90805,20 to 99
"SRN News Network, Inc.",Camanillo,CA,93012,10 to 19
"SRS Consulting, Inc.",Fremont,CA,94538,20 to 99
SRSD LLC,La Mirada,CA,90638,20 to 99
"SS Digital Media, LLC",Irvine,CA,92618,5 to 9
SS Ship,La Mesa,CA,91942,5 to 9
SS&E Striping Inc.,El Cajon,CA,92021,5 to 9
SSB Software Technologies Inc,Lake Forest,CA,92630,5 to 9
"SSC Construction, Inc.",Corona,CA,92880,20 to 99
"SSF IMPORTED AUTO PARTS, INC.",SOUTH SAN FRANCISCO,CA,94080,100 to 499
SSI Venture LLC,Kirkwood,CA,95646,100 to 499
SSI Venture LLC,South Lake Tahoe,CA,89449,100 to 499
SSI Venture LLC,Truckee,CA,95646,100 to 499
"SSINFOTEK INC.,",IRVINE,CA,92618,20 to 99
"SSK Delivery Service, Inc.",San Diego,CA,92127,5 to 9
SSL Federal LLC,Sunnyvale,CA,94089,100 to 499
SSMB Pacific Holding Company,San Leandro,CA,94577,100 to 499
SSNE Group Inc,San Jose,CA,95112,10 to 19
SSR Engineering Incorporated,Anaheim,CA,92801,10 to 19
ssr marketing inc,redondo Beach,CA,90278,20 to 99
"SST Benefits Consulting & Insurance Services, Inc.",El Dorado Hills,CA,95762,5 to 9
SST Construction Electric,Van Nuys,CA,91411,5 to 9
"SSVK Enterprises, LLC",Westlake Village,CA,91361,5 to 9
"SSW MECHANICAL CONSTRUCTION, INC",PALM SPRINGS,CA,92264,20 to 99
St Francis Lodge,Modesto,CA,95351,5 to 9
"St Johns Retirement Village, Inc",woodland,CA,95694,100 to 499
St JohnsPleasant Valley Hospital,Camarillo,CA,93010,500 to 999
St Luke Pharmacy Inc,Paramount,CA,90723,20 to 99
St Mark University Parish,Goleta,CA,93117,5 to 9
St Marys Corp,San Jose,CA,95128,20 to 99
St. Anselms Cross-Cultural Community Center,Garden Grove,CA,92843,20 to 99
St. Anselms CrossCultural Community Center,Garden Grove,CA,92843,20 to 99
ST. CLAIR HOSPICE,BEVERLY HILLS,CA,90211,10 to 19
ST. ELIZABETH COMMUNITY HOSPITAL,RED BLUFF,CA,96080,100 to 499
St. Francis Cooling Company,Fremont,CA,94538,20 to 99
St. Francis Yacht Club,San Francisco,CA,94123,100 to 499
St. George Chadux Corporation,Walnut Creek,CA,94596,10 to 19
St. George Distribution Corp,Santa Fe Springs,CA,90670,20 to 99
St. George Employee Leasing,Compton,CA,90220,100 to 499
St. George Warehouse and Trucking Co of Califonria Inc,Compton,CA,90220,100 to 499
St. George Warehouse of Oakland,San Leandro,CA,94577,20 to 99
St. John Knits Inc.,IRVINE,CA,92614,"1,000 to 2,499"
St. John of God Retirement & Care Center,Los Angeles,CA,90018,100 to 499
St. Johns Episcopal Cathedral,Los Angeles,CA,90007,5 to 9
St. Johns Regional Medical Center,Oxnard,CA,93030,"1,000 to 2,499"
St. Joseph Orange,Orange,CA,92868,"2,500 to 4,999"
St. Josephs Health & Retirement Center,Ojai,CA,93023,20 to 99
St. Josephs Medical Center,Stockton,CA,95204,"1,000 to 2,499"
St. Jude Medical,Sunnyvale,CA,94086,100 to 499
St. Jude Medical,Sylmar,CA,91342,"2,500 to 4,999"
St. Jude Medical Center,Fullerton,CA,92835,"2,500 to 4,999"
St. Jude Medical Center,Fullerton,CA,92835,"2,500 to 4,999"
St. Margaret of Scotland Episcopal School,San Juan Capistrano,CA,92675,100 to 499
"ST. MARTIN CONSTRUCTION, INC.",FONTANA,CA,92335,10 to 19
St. Martin Hospice,los angeles,CA,90026,20 to 99
St. Mary Medical Center,Long Beach,CA,90813,"1,000 to 2,499"
St. Moritz Bakery Inc.,Oceanside,CA,92056,20 to 99
St. Pauls Senior Homes & Services,San Diego,CA,92103,100 to 499
ST. THOMAS KOREAN CATHOLIC CENTER,ANAHEIM,CA,92801,10 to 19
St. Vincent Healthcare,Pasadena,CA,91103,20 to 99
ST. VINCENT HEALTHCARE LLC,PASADENA,CA,91103,100 to 499
"St.Pauls Medtransport, Inc.",Norco,CA,92860,20 to 99
STAAR Surgical Company,Monrovia,CA,91016,100 to 499
StackMob Inc.,San Francisco,CA,94103,20 to 99
"StackSocial, Inc",Venice,CA,90291,5 to 9
Staco Systems,Costa Mesa,CA,92626,20 to 99
Staco Systems,Irvine,CA,92618,20 to 99
"Stacy and Witbeck, Inc.",Alameda,CA,94502,100 to 499
"Stacy and Witbeck/Herzog, a JV",Santa Rosa,CA,95401,20 to 99
Stadco,Los Angeles,CA,90031,100 to 499
Stadia New Church Strategies,Irvine,CA,92614,20 to 99
"Stadium Partners, dba Stadium Golf Center",San Diego,CA,92117,20 to 99
Staff Care - HR,San Diego,CA,92130,100 to 499
Staff Management Office 0138 @ PPG Aerospace,Mojave,CA,92501,20 to 99
Staff Management Office 0184 @  Cambro,Huntington Beach,CA,92647,20 to 99
Staff Management Office 0254 @   Gap,Fresno,CA,93727,10 to 19
Staff Management Office 0287 @ Newell Rubbermaid,Hesperia,CA,92345,10 to 19
Staff Management Office 0402 @  PPG Aerospace,Sylmar,CA,91342,100 to 499
Staff Management Office 0433 @ Seeds of Change,Compton,CA,90220,10 to 19
Staff Management Office 0728 @ Ceva Hayward,Hayward,CA,94544,20 to 99
Staff Management Office 0729 @ Ceva Torrance,Torrance,CA,90501,20 to 99
Staff Management Office 0730 @ Ceva San Diego,San Diego,CA,92120,20 to 99
"Staff Management Office 7012 Amazon ONT2- San Bernardino, CA",San Bernardino,CA,92408,"1,000 to 2,499"
"Staff Management Office 7055 Amazon- Tracy, CA",Tracy,CA,95304,500 to 999
"Staff Management Office 7056 Amazon- Patterson, CA",Patterson,CA,95363,100 to 499
"STAFF P.R.N., INC.",LOS ANGELES,CA,90041,20 to 99
Staff Pointe Services Management,Corona,CA,92882,20 to 99
Staff Pro Inc.,Huntington Beach,CA,92649,"2,500 to 4,999"
"Staff Right Solutions, Inc",Riverside,CA,92504,100 to 499
"Staff Right Solutions, Inc.",Perris,CA,92571,100 to 499
Staff Support Depot,Downey,CA,90242,100 to 499
"Staff Tech, Inc.",Folsom,CA,95630,20 to 99
Staff-It Group Inc,Whittier,CA,90606,100 to 499
staffchex,sacramento,CA,95815,500 to 999
StaffChex Inc.,Hayward,CA,94545,100 to 499
Staffing Choice,Modesto,CA,95356,100 to 499
Staffing Concepts Inc,Santa Clara,CA,95050,20 to 99
Staffing Network (Modesto),Modesto,CA,95351,100 to 499
Staffing Network (Sacramento),Sacramento,CA,95834,100 to 499
Staffing Services International,San Diego,CA,92121,100 to 499
Staffing Solutions Inc.,santa clara,CA,95050,100 to 499
Staffmark,Whittier,CA,90605,100 to 499
Staffmark,Irwindale,CA,91706,"2,500 to 4,999"
Staffmark,Torrance,CA,90501,20 to 99
"Stafford Environmental Services, INC",Vista,CA,92083,10 to 19
"Stafford Meat Co., Inc.",Rio Linda,CA,95673,20 to 99
StaffPay,Irvine,CA,92618,"1,000 to 2,499"
Staffsmart Solutions,Ontario,CA,91762,5 to 9
StaffStore,Anaheim,CA,92805,100 to 499
STAFFSTORE ENTERPRISES INC.,BUENA PARK,CA,90621,"1,000 to 2,499"
"StaffStore Enterprises, Inc.",Corona,CA,92880,100 to 499
StaffStore Inc.,Irvine,CA,92618,20 to 99
"StaffWorks, LLC",San Diego,CA,92122,500 to 999
Stage Tech,Santa Fe Springs,CA,90670,20 to 99
Staib Backhoe & Excavation inc.,San Dimas,CA,91773,5 to 9
"Staib Backhoe & Excavation, Inc.",San Dimas,CA,91773,5 to 9
Stammerrama General Engineering Contractor,Lemon Grove,CA,91941,5 to 9
Stamps.com Inc.,El Segundo,CA,90245,100 to 499
"Stan Bilchik Carpet Co., Inc.",Chatsworth,CA,91311,20 to 99
"Standard Cable USA, Inc",Rancho Santa Margarita,CA,92688,10 to 19
Standard Drywall Inc.,Lakeside,CA,92040,20 to 99
Standard Electronics,Santee,CA,92071,20 to 99
Standard Food Service,Danville,CA,94506,20 to 99
Standard Management Company,Los Angeles,CA,90045,20 to 99
"StandardVision, LLC",Los Angeles,CA,90031,5 to 9
"Stanfield Systems, Inc.",Folsom,CA,95630,20 to 99
Stanford Hotels Corporation,san francisco,CA,94104,20 to 99
"Stanford Sign & Awning, Inc.",Chula Vista,CA,91911,20 to 99
Stanford University,Palo Alto,CA,94110,"10,000 and over"
Stanford University/SLAC National Accelerator Laboratory,Menlo Park,CA,94025,"1,000 to 2,499"
"Stangenes Industries, Inc.",Palo Alto,CA,94303,100 to 499
Stanislaus County Public Safety Center,Modesto,CA,95358,20 to 99
Stanislaus Farm Supply Company,Modesto,CA,95358,20 to 99
Stanley Black & Decker,Rialto,CA,92376,100 to 499
Staples and Associates,Bakersfield,CA,93308,100 to 499
Star & Crescent Boat Co dba San Diego Harbor Excursion,Coronado,CA,92118,100 to 499
"Star Auto Parts, Inc",San Bernardino,CA,92408,100 to 499
Star Brite Building Maintenance Inc.,signal Hill,CA,90755,100 to 499
"Star Care Home Health, Inc.",Mission Hills,CA,91345,10 to 19
Star Express Services Inc,moreno valley,CA,92555,10 to 19
"Star Fisheries, Inc",San Pedro,CA,90731,20 to 99
"Star Hardware, Inc.",Rancho Cucamonga,CA,91730,10 to 19
Star Industries,Sacramento,CA,95827,20 to 99
Star Labs LTD,Woodland Hills,CA,91367,10 to 19
"Star Marketing International, Inc",Gardena,CA,90248,20 to 99
STAR NAIL PRODUCTS INC,VALENCIA,CA,91355,100 to 499
"Star Nursing, Inc",Folsom,CA,95630,100 to 499
STAR Parker LLC,Berkely,CA,94704,100 to 499
Star Resources,Wilmington,CA,90744,5 to 9
STAR SCRAP METAL CO INC,LA MIRADA,CA,90638,20 to 99
Star Staffing,Healdsburg,CA,95448,100 to 499
Star Staffing,Petaluma,CA,94954,100 to 499
Star Staffing,Napa,CA,94558,100 to 499
Star Technologies CMG Group,Torrance,CA,90503,20 to 99
Star Trac Strength,Murrieta,CA,92562,100 to 499
"Star View Adolescent Center, Inc",Torrance,CA,90505,100 to 499
"Starcrest Products of California, Inc.",Perris,CA,92571,500 to 999
Stargate Films Inc.,South Pasadena,CA,91030,20 to 99
"Starix Technology, Inc.",Irvine,CA,92618,5 to 9
STARK MFG CO,CHULA VISTA,CA,91910,20 to 99
Starlight Community Services,San Jose,CA,95131,100 to 499
Starlight Corporation,San Diego,CA,92121,100 to 499
Starlight Services Inc.,San Diego,CA,92121,5 to 9
"Starlume, Inc",Sun Valley,CA,91352,100 to 499
starr capital,torrance,CA,90505,5 to 9
Starr Enterprises,Diamond Bar,CA,91765,5 to 9
Starrue. Inc,San Diego,CA,92111,10 to 19
Stars and Stripes Painting Inc.,Moreno Valley,CA,92553,5 to 9
Stars Behavioral Health Group,Oakland,CA,94621,20 to 99
STARSHINE TREATMENT CENTER,SAN BERNARDINO,CA,92404,20 to 99
"Starside Security & Investigation, Inc.",Diamond Bar,CA,91765,500 to 999
starsmaid & ANGYS HOUSE CLEANING SERVICES,palo alto,CA,94303,100 to 499
"Start Up Farms International, LLC",Fremont,CA,94538,10 to 19
"Starving Students, Inc.",Los Angeles,CA,90025,500 to 999
"Starwest Botanicals, Inc.",Sacramento,CA,95838,100 to 499
"STAT DELIVERY SERVICE, INC.",HAYWARD,CA,94545,20 to 99
"stat nursing services, inc",san francisco,CA,94109,100 to 499
Statcomm Inc.,Mountain View,CA,94043,20 to 99
State Bank of India (California),Los Angeles,CA,90017,100 to 499
State Center Community College District,Fresno,CA,93704,"2,500 to 4,999"
State of California,Norwalk,CA,90650,"1,000 to 2,499"
State Roofing Systems Inc,San Leandro,CA,94578,20 to 99
"State Street Bank and Trust Company of California, N.A. (Redwood)",Redwood City,CA,94063,20 to 99
Statek Corporation,Orange,CA,92868,100 to 499
Stater Bros. Markets,San Bernardino,CA,92408,"10,000 and over"
"States Drawer Box Specialties, LLC",Orange,CA,92867,20 to 99
"States Logistics Services, Inc.",Buena Park,CA,90621,100 to 499
Statewide Enterprises Inc.,Los Angeles,CA,90010,100 to 499
Statewide Financial,Fresno,CA,93704,10 to 19
Statewide Insurance Services,Rancho Cordova,CA,95742,10 to 19
Statewide Stripes Inc.,San Diego,CA,92190,10 to 19
Statewide Transcription Services,Rocklin,CA,95765,20 to 99
Station 1 Fire Protection,Fairfield,CA,94533,5 to 9
"Station Operators, Incorporated",HEMET,CA,92545,500 to 999
Station Platform,Santa Fe Springs,CA,90670,20 to 99
"Statistical Signal Processing, Inc.  (SSPI)",Napa,CA,94559,5 to 9
"STATS ChipPAC, Inc.",Fremont,CA,94538,"10,000 and over"
STAUB METALS CORPORATION,PARAMOUNT,CA,90723,20 to 99
"Stauber Performance Ingredients, Inc.",Fullerton,CA,92835,20 to 99
STAUFFERS LANDSCAPE INC,REDLANDS,CA,92375,100 to 499
Stauffers Landscape Inc.,Redlands,CA,92373,20 to 99
Stay Safe home Care INC,Pleasant Hill,CA,94523,10 to 19
Staybridge Suites Rocklin,Rocklin,CA,95765,20 to 99
"STC Development, Inc.",Shingle Springs,CA,95682,5 to 9
"Stealth Network Communications, Inc.",Scotts Valley,CA,95066,10 to 19
"Stealth Security Services, Inc.",Pinole,CA,94564,10 to 19
Stearns Conrad & Schmidt Consulting Engineers,Long Beach,CA,90806,500 to 999
"Stearns Lending, Inc.",Santa Ana,CA,92707,100 to 499
Stebosun Inc,El Monte,CA,91732,10 to 19
"STEC, Inc.",Santa Ana,CA,92705,100 to 499
Steel Stairs Inc.,Roseville,CA,95678,10 to 19
"Steel Structures, Inc.",Madera,CA,93638,20 to 99
"Steel Tech Fabrication, Inc.",Fontana,CA,92335,10 to 19
"Steel Unlimited, Inc.",Rialto,CA,92376,20 to 99
Steelco Construction,Modesto,CA,95351,5 to 9
"Steelcraft Group, Inc.",Corona,CA,92879,10 to 19
Steele Canyon Golf Club Corporation,Jamul,CA,91935,20 to 99
Steele Contracting Inc.,Santa Ana,CA,92707,10 to 19
Steele Ent,Ceres,CA,95307,20 to 99
"Steele International, inc.",San Francisco,CA,94111,100 to 499
"STEELE International, Inc.",San Francisco,CA,94111,20 to 99
"Steele Plumbing, Inc.",El Cajon,CA,92021,5 to 9
SteelEye Technology,San Mateo,CA,94403,100 to 499
"Steelhead Constructors, Inc.",Redding,CA,96003,20 to 99
Steelscape- Rancho,Rancho Cucamomga,CA,91730,100 to 499
Steer N Stein Restaurant Victorville Inc.,Victorville,CA,92395,20 to 99
STEFANOS DAVINCI RISTORANTE LLC,Long Beach,CA,90806,20 to 99
STEICO INDUSTRIES INC.,CARLSBAD,CA,92011,20 to 99
"Steiny and Company, Inc.",Baldwin Park,CA,91706,100 to 499
Stellar Asia Pacific,Los Angeles,CA,90211,10 to 19
Stellar Biotechnologies Inc.,Port Hueneme,CA,93041,20 to 99
"Stellar Exploration, Inc.",San Luis Obispo,CA,93401,10 to 19
Stellar Management,San Francisco,CA,94132,100 to 499
Stellar Sanitizing Janitorial Services,Cameron Park,CA,95682,5 to 9
Stellar Soft Solutions Inc,Milpitas,CA,95035,10 to 19
"Stellar Solutions, Inc.",Palo Alto,CA,94306,100 to 499
stellar staffing solutions,Napa,CA,94558,20 to 99
Stellartech,Sunnyvale,CA,94086,100 to 499
StemCyte,covina,CA,91722,20 to 99
Stemcyte Inc.,Covina,CA,91722,20 to 99
"Stemgent, Inc.",San Diego,CA,92121,20 to 99
"Stemtech HealthSciences, Inc.",San Clemente,CA,92672,20 to 99
STENNES & SABATH CPAS,GILROY,CA,95020,10 to 19
Step Aside Pest Management,Modesto,CA,95356,10 to 19
"Step by Step EDU-Play Programs, Inc",Santa Monica,CA,90404,20 to 99
Step N Components,Huntington Beach,CA,92647,5 to 9
Stephanie Chang Law Office,Alhambra,CA,91801,5 to 9
stephen s. halverson inc. dba contours,oceanside,CA,92058,10 to 19
Stephen S. Wise Temple,Los Angeles,CA,90077,500 to 999
"STEPHENS CONSTRUCTION, INC.",ARNOLD,CA,95223,5 to 9
"STEPS APPAREL GROUP, INC.",LOS ANGELES,CA,90023,20 to 99
StepStone Group LP,San Diego,CA,92122,20 to 99
Stepstone Inc.,Los Angeles,CA,90061,20 to 99
Stericycle Inc.,Vernon,CA,90023,100 to 499
Sterilizer Technical Specialists LLC,San Diego,CA,92111,10 to 19
Sterling Corporate Custom Elevator Interiors,National City,CA,91950,20 to 99
Sterling Hardware Group,San Diego,CA,92101,10 to 19
Sterling Health Services Administration,Oakland,CA,94612,20 to 99
STERLING MARKETING AND FINANCIAL CORPORATION,MODESTO,CA,95356,20 to 99
"STERLING MEDICAL PRODUCTS, INC",IRVINE,CA,92618,10 to 19
Sterling Pacific Meat Company,Commerce,CA,90040,100 to 499
Sterling Senior Care Inc,Sacramento,CA,95825,100 to 499
Sterling USA Inc.,Fontana,CA,92335,"1,000 to 2,499"
Sterndahl Enterprises Incorporated,Sun Valley,CA,91352,20 to 99
"Sterndahl Enterprises, Inc",Sun Valley,CA,91352,20 to 99
Sterner Productions LLC,Los Angeles,CA,90017,20 to 99
Stero,Petaluma,CA,94954,20 to 99
"steve cha, esq. A professional law corporation",los angeles,CA,90010,5 to 9
"Steve Julius Construction, Inc.",San Clemente,CA,92672,20 to 99
"STEVE ORR AND ASSOCIATES, INC.",TEMECULA,CA,92590,20 to 99
"STEVE P. RADOS, INC",SANTA ANA,CA,92705,100 to 499
STEVE VALLE PAINTING,SACRAMENTO,CA,95822,10 to 19
Steve Wills Trucking & Logging LLC,Hydesville,CA,95547,20 to 99
"Steven E. Levine, M.D., A Medical Corporation",Valencia,CA,91355,10 to 19
"Steven Engineering, Inc.",South San Francisco,CA,94080,20 to 99
Steven Field Plumbing,Thousand Oaks,CA,91360,5 to 9
"STEVEN HURT DRYWALL, INC.",CLAREMONT,CA,91711,10 to 19
"Steven Langford Architects, Inc.",Santa Ana,CA,92705,10 to 19
Stevens Construction Inc.,Lancaster,CA,93534,20 to 99
"Stevens Cresto Engineering, Inc.",San Diego,CA,92123,5 to 9
Stevens Grading and Excavating,Fort Jones,CA,96032,5 to 9
Stevenson School,Pebble Beach,CA,93953,100 to 499
"Stevenson Systems, Inc.",Laguna Niguel,CA,92677,20 to 99
Steves Oilfield Service,BAKERSFIELD,CA,93314,100 to 499
"STEVES TOWING, INC",LAKE ELSINORE,CA,92530,20 to 99
Stewart Heating & Air Inc.,Pittsburg,CA,94565,20 to 99
"STI Demolition, Inc. dba Full Scale Demolition",Anaheim,CA,92807,20 to 99
"Still Waters Foodservice, Inc.",Lancaster,CA,93536,5 to 9
"StillBreeze Express, Inc",Watsonville,CA,95076,5 to 9
Stillman Seal,Carlsbad,CA,92009,100 to 499
"Stillson Company, Inc.",Acton,CA,93510,10 to 19
"Stines Machine, Inc.",Vista,CA,92081,20 to 99
Stion Corporation,San jose,CA,95119,20 to 99
"Stockham Construction, Inc.",Cotati,CA,94931,100 to 499
"Stockley, Stephen C",Running Springs,CA,93282,5 to 9
Stockton City Center Stadium 16 & IMAX,Stockton,CA,95202,20 to 99
stockton dodge inc,stockton,CA,95212,20 to 99
Stockton Holiday Cinema 8,Stockton,CA,95210,20 to 99
Stockton Hospitality LP,Stockton,CA,95207,20 to 99
Stockton Port District,Stockton,CA,95203,20 to 99
"STOLL METALCRAFT, INC.",VALENCIA,CA,91355,20 to 99
Stone & Youngberg LLC,San Francisco,CA,94111,20 to 99
Stone Brewing Co.,Escondido,CA,92029,100 to 499
Stone Cobra Inc.,Roseville,CA,95678,20 to 99
Stone Grzegorek & Gonzalez LLP,Los Angeles,CA,90017,20 to 99
"Stone Mountain Catering, Inc.",Etiwanda,CA,91739,20 to 99
"Stone Publishing, Inc.",Santa Clara,CA,95050,20 to 99
STONE TRUSS COMPANY INC,OCEANSIDE,CA,92058,20 to 99
